id,neighbourhood_cleansed,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,review_scores_rating
35598894,Portage Park,60634,41.95171,-87.77458,House,Private room,4,1,2,2,$85.00 ,
35603449,Portage Park,60641,41.95986,-87.74805,Apartment,Entire home/apt,3,1,2,2,$99.00 ,
35604998,Loop,60607,41.8706,-87.63263,Apartment,Entire home/apt,6,2,2,4,$279.00 ,
35605226,Armour Square,60616,41.85276,-87.63468,House,Private room,3,1,1,2,$75.00 ,98
35605764,Logan Square,60647,41.92035,-87.70029,House,Entire home/apt,5,1.5,2,2,$300.00 ,
35607922,Ohare,60656,41.98004,-87.83802,Condominium,Private room,1,1,1,1,$55.00 ,
35610994,Uptown,60640,41.96454,-87.66834,Apartment,Private room,2,1,0,1,$99.00 ,73
35611753,Grand Boulevard,60653,41.82205,-87.6119,Apartment,Entire home/apt,6,1,2,3,$100.00 ,100
35612777,Rogers Park,60626,42.01562,-87.66863,Condominium,Private room,2,1,1,1,$49.00 ,80
35614041,West Town,60622,41.89801,-87.67569,Apartment,Entire home/apt,4,1,2,2,$125.00 ,
35614859,West Town,60612,41.89001,-87.68321,Apartment,Private room,2,1,1,1,$59.00 ,100
35616728,Loop,60606,41.88674,-87.63471,Apartment,Entire home/apt,4,1,1,2,$216.00 ,
35616746,Dunning,60634,41.9498,-87.80232,Bungalow,Private room,2,1.5,1,1,$60.00 ,100
35620682,Edgewater,60640,41.97732,-87.67329,Apartment,Private room,2,1,1,1,$34.00 ,
35631797,Lincoln Park,60614,41.93167,-87.66827,Condominium,Entire home/apt,8,2,2,5,$275.00 ,
35635161,Near North Side,60611,41.90006,-87.62865,Apartment,Entire home/apt,2,1,1,1,$173.00 ,
35635202,Near North Side,60611,41.89862,-87.62861,Apartment,Entire home/apt,2,1,1,1,$160.00 ,
35635664,Woodlawn,60637,41.77678,-87.59556,Condominium,Private room,4,1,1,1,$40.00 ,100
35637083,Austin,60644,41.88143,-87.75184,Apartment,Entire home/apt,3,1,1,2,$190.00 ,
35638513,Fuller Park,60609,41.81401,-87.6328,Apartment,Entire home/apt,8,1,2,4,$149.00 ,
35640409,Logan Square,60647,41.93018,-87.70481,Apartment,Entire home/apt,5,1,2,2,$160.00 ,100
35641606,Fuller Park,60609,41.81263,-87.63414,House,Entire home/apt,10,3,4,6,$499.00 ,
35642174,Loop,60601,41.88625,-87.62072,Apartment,Entire home/apt,3,1,0,2,$400.00 ,
35642875,Loop,60601,41.88483,-87.62317,Apartment,Entire home/apt,3,2,2,2,$400.00 ,
35643490,Loop,60601,41.88463,-87.6323,Apartment,Entire home/apt,3,1,0,2,$400.00 ,
35644799,Near North Side,60654,41.8947,-87.63252,Apartment,Entire home/apt,3,1,0,2,$400.00 ,
35645746,West Garfield Park,60624,41.87583,-87.72087,House,Private room,2,2,1,1,$39.00 ,
35648511,Loop,60606,41.88453,-87.63546,Serviced apartment,Entire home/apt,4,1,1,1,$154.00 ,
35650243,Lincoln Park,60614,41.93104,-87.66456,Apartment,Entire home/apt,2,1,0,1,$99.00 ,
35651986,Irving Park,60618,41.94842,-87.71284,Apartment,Private room,3,2,1,1,$49.00 ,93
35653019,Calumet Heights,60617,41.72954,-87.5596,House,Private room,2,1,1,2,$30.00 ,60
35654095,Bridgeport,60608,41.83808,-87.65103,Apartment,Private room,1,1.5,1,1,$45.00 ,
35654657,Irving Park,60618,41.9486,-87.71134,Apartment,Private room,2,2,1,1,$49.00 ,100
35654792,Lower West Side,60608,41.84997,-87.67744,Apartment,Private room,2,1,1,1,$99.00 ,80
35654940,Loop,60605,41.87011,-87.62604,Apartment,Entire home/apt,3,1,0,2,$135.00 ,
